Comment,Designator,Footprint,LCSC
1K,"R10,R15,R16,R22,R27,R32,R35,R36,R40,R43,R44,R7",R_0603_1608Metric,C17513
47K,"R18,R28,R5",R_0603_1608Metric,C17713
100K,"R14,R2,R24,R30,R38,R8",R_0603_1608Metric,C17900
100,"R11,R17,R26,R3,R33,R41",R_0603_1608Metric,C22775
1000K,"R1,R12,R13,R23,R34,R42",R_0603_1608Metric,C22935
15,"R21,R29,R6",R_0603_1608Metric,C25756
10K,"R19,R20,R25,R31,R37,R39,R4,R45,R9",R_0603_1608Metric,C25804
PN2907A,"Q3,Q7,Q9",TO92-EBC,C358534
2N7002,"Q1,Q4,Q5",SOT-23,C5224215
0.1u,C2,CP_Radial_D6.3mm_P2.50mm,C527620
NPN,"Q2,Q6,Q8",TO-92,C5330385
SFH_203_PFA,"D1,D3,D5",XDCR_SFH_203_PFA,C554984
TSAL4400,"D2,D4,D6",LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm_IRBlack,C94135
47u,C1,CP_Radial_D6.3mm_P2.50mm,C96123
